Surface sed ID,Depth_m,Latitude,Longitude,TEX86L,Ann SST,Ann 0-10m,Ann. 0-20m,Ann. 0-30m,Ann. 0-40m,Ann. 0-50m,Ann. 0-60m,Ann. 0-70m,Ann. 0-80m,Ann. 0-90m,Ann. 0-100m,Ann. 0-125m,Ann. 0-150m,Ann. 0-175m,Ann. 0-200m,Winter SST,Wint. 0-10m,Wint. 0-20m,Wint. 0-30m,Wint. 0-40m,WInt. 0-50m,Wint. 0-60m,Wint. 0-70m,Wint. 0-80m,Wint. 0-90m,Wint. 0-100m,Wint. 0-125m,WInt. 0-150m,Wint. 0-175m,Wint. 0-200m,Fall SST,Fall 0-10m,Fall 0-20m,Fall 0-30m,Fall 0-40m,Fall 0-50m,Fall 0-60m,Fall 0-70m,Fall 0-80m,Fall 0-90m,Fall 0-100m,Fall 0-125m,Fall 0-150m,Fall 0-175m,Fall 0-200m,Spring SST,Spring 0-10m,Spring 0-20m,Spring 0-30m,Spring 0-40m,Spring 0-50m,Spring 0-60m,Spring 0-70m,Spring 0-80m,Spring 0-90m,Spring 0-100m,Spring 0-125m,Spring 0-150m,Spring 0-175m,Spring 0-200m,Summer SST,Summer 0-10m,Summer 0-20m,Summer 0-30m,Summer 0-40m,Summer 0-50m,Summer 0-60m,Summer 0-70m,Summer 0-80m,Summer 0-90m,Summer 0-100m,Summer 0-125m,Summer 0-150m,Summer 0-175m,Summer 0-200m
313,72,66.617000°,-23.933000°,-0.67,5.24,5.24,5.24,5.25,5.23,5.22,5.23,5.24,5.24,5.24,5.24,5.23,5.21,5.17,5.17,3.71,3.68,3.70,3.73,3.78,3.82,3.88,3.96,4.02,4.07,4.11,4.13,4.13,4.12,4.12,5.40,5.43,5.47,5.50,5.54,5.56,5.59,5.61,5.62,5.64,5.66,5.66,5.63,5.58,5.58,4.39,4.39,4.41,4.45,4.46,4.48,4.55,4.61,4.65,4.69,4.71,4.72,4.71,4.70,4.70,7.47,7.47,7.40,7.32,7.17,7.03,6.90,6.78,6.67,6.57,6.48,6.42,6.35,6.27,6.27
315,233,66.736000°,-24.332000°,-0.69,5.00,5.00,5.00,5.00,4.99,4.95,4.92,4.90,4.87,4.85,4.84,4.84,4.84,4.84,4.84,3.59,3.55,3.56,3.59,3.63,3.65,3.68,3.72,3.75,3.79,3.81,3.81,3.81,3.81,3.84,4.94,4.97,5.03,5.08,5.12,5.13,5.13,5.13,5.13,5.13,5.13,5.13,5.13,5.13,5.13,4.49,4.46,4.47,4.51,4.52,4.53,4.57,4.60,4.61,4.62,4.63,4.63,4.63,4.63,4.63,6.99,7.02,6.94,6.84,6.68,6.49,6.32,6.14,5.99,5.87,5.76,5.76,5.76,5.76,5.76
316,217,66.746000°,-18.792000°,-0.68,5.17,5.12,5.08,5.01,4.93,4.87,4.82,4.76,4.71,4.68,4.66,4.64,4.62,4.58,4.52,4.39,4.38,4.36,4.36,4.37,4.39,4.36,4.28,4.21,4.14,4.07,4.03,4.00,3.96,4.00,5.10,5.03,5.05,5.05,5.05,5.03,4.97,4.87,4.81,4.84,4.92,4.94,4.95,4.91,4.85,3.36,3.28,3.22,3.13,3.04,2.98,3.01,3.04,3.07,3.09,3.10,3.11,3.11,3.10,3.07,7.84,7.80,7.69,7.51,7.28,7.08,6.95,6.83,6.74,6.63,6.54,6.48,6.42,6.35,6.25
319,450,66.447000°,-18.843000°,-0.72,5.17,5.12,5.08,5.01,4.93,4.87,4.82,4.76,4.71,4.68,4.66,4.64,4.62,4.58,4.52,4.39,4.38,4.36,4.36,4.37,4.39,4.36,4.28,4.21,4.14,4.07,4.03,4.00,3.96,4.00,5.10,5.03,5.05,5.05,5.05,5.03,4.97,4.87,4.81,4.84,4.92,4.94,4.95,4.91,4.85,3.36,3.28,3.22,3.13,3.04,2.98,3.01,3.04,3.07,3.09,3.10,3.11,3.11,3.10,3.07,7.84,7.80,7.69,7.51,7.28,7.08,6.95,6.83,6.74,6.63,6.54,6.48,6.42,6.35,6.25
324,397,66.527000°,-21.152000°,-0.65,4.97,4.93,4.92,4.90,4.87,4.86,4.88,4.89,4.89,4.90,4.92,4.93,4.94,4.92,4.92,3.27,3.27,3.27,3.29,3.32,3.39,3.45,3.49,3.53,3.56,3.58,3.60,3.62,3.62,3.62,5.29,5.23,5.27,5.29,5.31,5.33,5.33,5.31,5.29,5.32,5.40,5.44,5.46,5.43,5.43,3.30,3.26,3.26,3.24,3.20,3.19,3.29,3.38,3.44,3.50,3.54,3.57,3.59,3.60,3.60,8.01,7.95,7.89,7.80,7.65,7.54,7.45,7.37,7.30,7.22,7.15,7.12,7.08,7.02,7.02
334,104,66.410000°,-21.880000°,-0.70,5.34,5.33,5.34,5.35,5.33,5.32,5.36,5.40,5.45,5.48,5.51,5.51,5.51,5.51,5.51,3.54,3.53,3.54,3.58,3.62,3.66,3.76,3.85,3.95,4.01,4.03,4.03,4.03,4.03,4.03,5.67,5.69,5.76,5.80,5.83,5.86,5.89,5.91,5.93,5.97,6.04,6.04,6.04,6.04,6.04,3.78,3.76,3.77,3.78,3.76,3.77,3.88,4.00,4.11,4.19,4.23,4.23,4.23,4.23,4.23,8.36,8.33,8.28,8.23,8.10,8.00,7.91,7.85,7.82,7.77,7.74,7.74,7.74,7.74,7.74
329,94,65.965000°,-21.294000°,-0.68,5.24,5.15,5.10,5.05,5.03,5.02,5.07,5.11,5.15,5.18,5.21,5.22,5.22,5.22,5.22,2.17,2.02,2.00,2.02,2.08,2.17,2.33,2.48,2.61,2.72,2.81,2.85,2.85,2.85,2.85,5.77,5.84,5.89,5.92,5.97,6.00,6.01,6.01,6.01,6.04,6.10,6.12,6.12,6.12,6.12,3.39,3.26,3.20,3.15,3.10,3.08,3.21,3.32,3.40,3.47,3.53,3.55,3.55,3.55,3.55,9.65,9.50,9.29,9.11,8.95,8.83,8.74,8.64,8.56,8.48,8.42,8.37,8.37,8.37,8.37
331,165,66.136000°,-21.591000°,-0.71,5.47,5.41,5.34,5.30,5.26,5.23,5.26,5.26,5.26,5.26,5.26,5.26,5.26,5.26,5.26,2.53,2.47,2.47,2.49,2.54,2.59,2.64,2.64,2.64,2.64,2.64,2.64,2.64,2.64,2.64,6.17,6.20,6.19,6.19,6.21,6.22,6.22,6.22,6.22,6.22,6.22,6.22,6.22,6.22,6.22,3.42,3.32,3.28,3.25,3.19,3.18,3.26,3.26,3.26,3.26,3.26,3.26,3.26,3.26,3.26,9.77,9.65,9.44,9.26,9.08,8.95,8.90,8.90,8.90,8.90,8.90,8.90,8.90,8.90,8.90
344,273,64.836000°,-24.369000°,-0.61,7.74,7.75,7.70,7.64,7.59,7.53,7.48,7.44,7.40,7.37,7.34,7.33,7.31,7.29,7.26,5.17,5.20,5.23,5.26,5.32,5.37,5.43,5.48,5.52,5.57,5.60,5.63,5.65,5.67,5.69,7.67,7.73,7.78,7.79,7.81,7.83,7.84,7.85,7.86,7.86,7.87,7.87,7.86,7.85,7.83,6.92,6.86,6.77,6.65,6.56,6.50,6.47,6.44,6.42,6.41,6.39,6.39,6.39,6.38,6.36,11.21,11.20,11.05,10.88,10.67,10.43,10.19,9.97,9.79,9.63,9.49,9.42,9.34,9.26,9.18
346,322,64.927000°,-24.129000°,-0.63,7.88,7.91,7.87,7.80,7.74,7.67,7.62,7.57,7.53,7.50,7.46,7.44,7.42,7.38,7.35,5.18,5.24,5.27,5.30,5.36,5.41,5.47,5.53,5.58,5.63,5.67,5.69,5.71,5.72,5.73,7.78,7.88,7.94,7.95,7.98,7.99,8.00,8.01,8.02,8.02,8.03,8.02,8.00,7.98,7.95,6.99,6.94,6.85,6.73,6.64,6.56,6.53,6.51,6.49,6.47,6.46,6.44,6.44,6.42,6.40,11.57,11.58,11.41,11.22,10.99,10.72,10.47,10.23,10.03,9.86,9.70,9.61,9.52,9.43,9.33
347,320,63.928000°,-24.482000°,-0.64,7.93,7.88,7.86,7.82,7.76,7.70,7.64,7.58,7.53,7.48,7.44,7.41,7.39,7.37,7.34,6.22,6.25,6.29,6.31,6.33,6.35,6.37,6.38,6.38,6.37,6.37,6.36,6.36,6.36,6.37,7.72,7.73,7.75,7.75,7.75,7.75,7.76,7.76,7.76,7.75,7.75,7.74,7.74,7.72,7.71,7.24,7.18,7.14,7.08,7.02,6.97,6.93,6.89,6.86,6.83,6.81,6.79,6.78,6.76,6.74,10.52,10.37,10.27,10.14,9.96,9.74,9.52,9.31,9.12,8.96,8.82,8.75,8.68,8.61,8.55
1,2255,62.000317°,-15.999183°,-0.49,9.40,9.54,9.55,9.53,9.48,9.42,9.36,9.29,9.23,9.17,9.12,9.09,9.06,9.04,9.01,7.90,8.31,8.34,8.35,8.36,8.36,8.36,8.36,8.35,8.35,8.35,8.35,8.35,8.34,8.34,9.32,9.39,9.42,9.42,9.42,9.42,9.42,9.41,9.39,9.37,9.34,9.32,9.30,9.28,9.26,8.81,8.81,8.79,8.76,8.72,8.68,8.63,8.59,8.55,8.52,8.49,8.48,8.46,8.45,8.43,11.63,11.65,11.63,11.57,11.43,11.24,11.02,10.80,10.60,10.43,10.28,10.21,10.14,10.08,10.01
