Sample #,Depth (cm),CLAM age BP,CLAM age CE,TEX86-L,Annual SST ,Annual 0-200m T ,Iceland Winter 0-200m T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.020842477,,,,,,,,0.94732076
1,0.5,-60.5,2010.5,-0.653825996,2.766745283,2.885639413,4.482562369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,6.5,-26.5,1976.5,-0.640787805,3.646823139,3.547979488,4.846301806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,12.5,7,1943,-0.654034717,2.752656605,2.875036378,4.476739466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,18.5,41,1909,-0.686781806,0.542228066,1.211484233,3.563161164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,24.5,74.5,1875.5,-0.647055062,3.223783316,3.229602851,4.671457881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,30.5,108,1842,-0.636945323,3.906190666,3.743177568,4.953499366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,36.5,141,1809,-0.698524673,-0.250415413,0.614946622,3.235558678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,42.5,173.5,1776.5,-0.651450397,2.927098186,3.00631982,4.548836818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,48.5,205.5,1744.5,-0.636666498,3.925011408,3.757341919,4.961278048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,54.5,237.5,1712.5,-0.652200361,2.8764756,2.968221637,4.527914315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,60.5,268.5,1681.5,-0.652437591,2.860462577,2.956170354,4.521296074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,66.5,299.5,1650.5,-0.646606708,3.254047229,3.252379248,4.683966068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,72.5,329.5,1620.5,-0.661730668,2.233179912,2.484082067,4.262037825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,78.5,358.5,1591.5,-0.665766219,1.960780207,2.279076067,4.149454018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,84.5,387,1563,-0.66343263,2.11829745,2.397622377,4.214556478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,90.5,414.5,1535.5,-0.638022323,3.833493227,3.688466014,4.923453245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,96.5,441,1509,-0.643197257,3.48418512,3.42557932,4.779082911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,102.5,467,1483,-0.68646704,0.563474809,1.227474375,3.571942522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,108.5,492,1458,-0.66718442,1.865051628,2.207031448,4.109889042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,112.5,508,1442,-0.64975896,3.041270168,3.092244808,4.596024521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,116.5,523,1427,-0.670325565,1.653024379,2.04746131,4.022257394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,127.5,563,1387,-0.710802594,-1.079175124,-0.008771797,2.893029221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,133.5,582.5,1367.5,-0.672226772,1.524692902,1.950879991,3.96921752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,139.5,601.5,1348.5,-0.635627211,3.995163248,3.810137674,4.990272063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,145.5,618.5,1331.5,-0.63259926,4.199549942,3.963957586,5.074745841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,151.5,635.5,1314.5,-0.664229683,2.064496373,2.357132085,4.192320294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,160.5,659,1291,-0.671262888,1.589755035,1.999845271,3.99610794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,166.5,674.5,1275.5,-0.645777379,3.31002692,3.294509148,4.707102682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,172.5,689.5,1260.5,-0.65805484,2.481298301,2.670814129,4.364586074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,178.5,704.5,1245.5,-0.67104,1.6048,2.011168,4.00232608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,196.5,749,1201,-0.66995,1.678375,2.06654,4.0327349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
